Mesto,Razdalja,Veter,Ime,Rojstvo,Drzava,Prizorisce,Datum,Rezultat,Starost
210,6.35,+0.8,Avery MCMULLEN,12 OCT 2000,USA,"Potts Field, Boulder, CO (USA)",11 MAY 2024,1075,23
210,6.35,+1.9,Serina RIEDEL,12 APR 2003,GER,"Leichtathletikstadion Robert-Koch-Stra&#223;e, Halle (GER)",19 MAY 2024,1075,21
210,6.35,+0.5,Machaeda LINTON,08 FEB 2003,JAM,"Wildcat Track, Marion, IN (USA)",22 MAY 2024,1075,21
210,6.35,+0.6,Urša MATOTEK,31 MAY 2002,SLO,"Atat&#252;rk Stadyumu, Izmir (TUR)",26 MAY 2024,1075,21
210,6.35,-0.5,Auriana LAZRAQ-KHLASS,22 APR 1999,FRA,"Stadio Olimpico, Roma (ITA)",08 JUN 2024,1078,25
220,6.34,0.0,Ramona Elena VERMAN,03 MAR 2004,ROU,"Palaindoor Ancona, Ancona (ITA) (i)",20 JAN 2024,1073,19
220,6.34,0.0,Eve DIVINITY,11 AUG 2004,USA,"Convention Center, Albuquerque, NM (USA) (i)",23 FEB 2024,1073,19
220,6.34,+1.6,Zinzi XULU,28 SEP 1996,RSA,"Pilditch Stadium, Pretoria (RSA)",24 FEB 2024,1073,27
220,6.34,+0.5,Jonon YOUNG,01 MAY 2000,USA,"CVEATC, Chula Vista, CA (USA)",08 JUN 2024,1073,24
220,6.34,+1.8,Jessica Carolina ALVES DOS REIS,17 MAR 1993,BRA,"Centro de Treinamento Paral&#237;mpico Brasileiro, S&#227;o Paulo (BRA)",15 JUN 2024,1073,31
220,6.34,+0.8,Timara CHAPMAN,05 MAY 2000,USA,"Hayward Field, Eugene, OR (USA)",24 JUN 2024,1073,24
220,6.34,-0.6,Galina NIKOLOVA,22 JAN 1994,BUL,"Plovdiv Stadium, Plovdiv (BUL)",13 JUL 2024,1076,30
231,6.33,0.0,Tatiana PEREIRA,18 MAY 2006,POR,"Expocentro, Pombal (POR) (i)",17 FEB 2024,1071,17
231,6.33,0.0,Svetlana ANTOSHINA,03 JAN 2003,RUS,"LFK CSKA, Moskva (RUS) (i)",24 FEB 2024,1071,21
231,6.33,+1.0,Jana KOŠČAK,19 MAY 2006,CRO,"Suez Canal Authority Stadium, Ismailia (EGY)",18 MAY 2024,1071,17
231,6.33,-1.1,Sveva GEREVINI,31 MAY 1996,ITA,"Stadio Olimpico, Roma (ITA)",08 JUN 2024,1077,28
231,6.33,-0.4,Marilin LEUTHARD,13 MAY 2001,SUI,"Stadion Deutweg, Winterthur (SUI)",28 JUN 2024,1073,23
236,6.32,0.0,Szabina SZŰCS,04 FEB 2002,HUN,"BOK Csarnok, Budapest (HUN) (i)",11 FEB 2024,1068,22
236,6.32,+1.6,Alina LISTUNOVA,26 SEP 2003,UKR,"Avangard Stadium, Lutsk (UKR)",18 MAY 2024,1068,20
236,6.32,-0.4,Valeriya VOLOVLIKOVA,07 OCT 2002,RUS,"Slava Metreveli Stadium, Sochi (RUS)",21 MAY 2024,1070,21
236,6.32,-0.7,Lea-Sophie KLIK,20 SEP 2000,GER,"MTV Stadion, Ingolstadt (GER)",07 JUN 2024,1072,23
236,6.32,+1.2,Carmen ROSALES,29 APR 2002,ESP,"Estadi Ol&#237;mpic Camilo Cano, La Nucia (ESP)",29 JUN 2024,1068,22
242,6.31,0.0,Rachela PACE,15 JUN 2003,MLT,"Dempsey Indoor, Seattle, WA (USA) (i)",27 JAN 2024,1066,20
